"Jahr","Datum","Index","Meta","Type","Content"
"2013",2013-09-01,"159.8",NA,NA,NA
"2013",2013-10-01,"159.7",NA,NA,NA
"2013",2013-11-01,"159.7",NA,NA,NA
"2013",2013-12-01,"159.3",NA,NA,NA
"2014",2014-01-01,"158.9",NA,NA,NA
"2014",2014-02-01,"159.1",NA,NA,NA
"2014",2014-03-01,"159.6",NA,NA,NA
"2014",2014-04-01,"159.7",NA,NA,NA
"2014",2014-05-01,"160.2",NA,NA,NA
"2014",2014-06-01,"160.1",NA,NA,NA
"2014",2014-07-01,"159.5",NA,NA,NA
"2014",2014-08-01,"159.4",NA,NA,NA
"2014",2014-09-01,"159.7",NA,NA,NA
"2014",2014-10-01,"159.7",NA,NA,NA
"2014",2014-11-01,"159.6",NA,NA,NA
"2014",2014-12-01,"158.8",NA,NA,NA
"2015",2015-01-01,"158.1",NA,NA,NA
"2015",2015-02-01,"157.7",NA,NA,NA
"2015",2015-03-01,"158.2",NA,NA,NA
"2015",2015-04-01,"157.9",NA,NA,NA
"2015",2015-05-01,"158.3",NA,NA,NA
"2015",2015-06-01,"158.4",NA,NA,NA
"2015",2015-07-01,"157.5",NA,NA,NA
"2015",2015-08-01,"157.2",NA,NA,NA
"2015",2015-09-01,"157.4",NA,NA,NA
"2015",2015-10-01,"157.5",NA,NA,NA
"2015",2015-11-01,"157.4",NA,NA,NA
"2015",2015-12-01,"156.7",NA,NA,NA
"2016",2016-01-01,"156.1",NA,NA,NA
"2016",2016-02-01,"156.4",NA,NA,NA
"2016",2016-03-01,"156.9",NA,NA,NA
"2016",2016-04-01,"157.4",NA,NA,NA
"2016",2016-05-01,"157.6",NA,NA,NA
"2016",2016-06-01,"157.8",NA,NA,NA
"2016",2016-07-01,"157.1",NA,NA,NA
"2016",2016-08-01,"157",NA,NA,NA
"2016",2016-09-01,"157.1",NA,NA,NA
"2016",2016-10-01,"157.2",NA,NA,NA
"2016",2016-11-01,"156.8",NA,NA,NA
"2016",2016-12-01,"156.7",NA,NA,NA
"2017",2017-01-01,"156.7",NA,NA,NA
"2017",2017-02-01,"157.4",NA,NA,NA
"2017",2017-03-01,"157.8",NA,NA,NA
"2017",2017-04-01,"158.1",NA,NA,NA
"2017",2017-05-01,"158.4",NA,NA,NA
"2017",2017-06-01,"158.1",NA,NA,NA
"2017",2017-07-01,"157.7",NA,NA,NA
"2017",2017-08-01,"157.7",NA,NA,NA
"2017",2017-09-01,"158.1",NA,NA,NA
"2017",2017-10-01,"158.2",NA,NA,NA
"2017",2017-11-01,"158.1",NA,NA,NA
"2017",2017-12-01,"158",NA,NA,NA
"2018",2018-01-01,"157.8",NA,NA,NA
"2018",2018-02-01,"158.4",NA,NA,NA
"2018",2018-03-01,"159",NA,NA,NA
"2018",2018-04-01,"159.3",NA,NA,NA
"2018",2018-05-01,"160",NA,NA,NA
"2018",2018-06-01,"160",NA,NA,NA
"2018",2018-07-01,"159.6",NA,NA,NA
"2018",2018-08-01,"159.6",NA,NA,NA
"2018",2018-09-01,"159.7",NA,NA,NA
"2018",2018-10-01,"159.9",NA,NA,NA
"2018",2018-11-01,"159.5",NA,NA,NA
"2018",2018-12-01,"159.1",NA,NA,NA
"2019",2019-01-01,"158.7",NA,NA,NA
"2019",2019-02-01,"159.3",NA,NA,NA
"2019",2019-03-01,"160.2",NA,NA,NA
"2019",2019-04-01,"160.5",NA,NA,NA
"2019",2019-05-01,"161",NA,NA,NA
"2019",2019-06-01,"160.9",NA,NA,NA
"2019",2019-07-01,"160.1",NA,NA,NA
"2019",2019-08-01,"160.1",NA,NA,NA
"2019",2019-09-01,"159.9",NA,NA,NA
"2019",2019-10-01,"159.5",NA,NA,NA
"2019",2019-11-01,"159.3",NA,NA,NA
